Familia,Especie,Género,Polinizador,Start,End,Jan-01,Jan-02,Feb-01,Feb-02,Mar-01,Mar-02,Apr-01,Apr-02,May-01,May-02,Jun-01,Jun-02,Jul-01,Jul-02,Aug-01,Aug-02,set01,set02,Oct-01,Oct-02,Nov-01,Nov-02,Dec-01,Dec-02,Total
Araceae,Anthurium pittieri Engl.,Anthurium,Small insects,1,12,28,32,31,33,32,41,36,38,34,18,20,15,26,19,17,16,12,10,31,33,46,49,47,43,707
Araceae,Anthurium protensum Schott,Anthurium,Small insects,1,12,14,4,4,4,1,3,6,2,4,2,2,2,4,4,8,11,16,16,24,17,23,14,14,5,204
Araceae,Anthurium scandens (Aubl.) Engl.,Anthurium,Small insects,1,12,105,92,76,76,67,75,90,121,100,109,109,73,44,40,40,58,70,127,151,211,179,223,141,163,2540
Araceae,Monstera lentii Croat & Grayum,Monstera,Nitidulid beetles,1,12,0,0,0,1,0,2,2,5,4,7,6,7,11,12,9,2,0,5,2,3,2,0,1,0,81
Araceae,Monstera oreophila Madison,Monstera,Nitidulid beetles,1,12,0,1,2,2,3,6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Araceae,Philodendron brenesii Standl.,Philodendron,Scarabeid beetles,1,12,2,3,1,2,1,1,0,0,0,1,1,2,13,20,25,27,47,51,56,37,25,17,4,3,339
Araceae,Philodendron wilburii Croat & Grayum,Philodendron,Scarabeid beetles,1,12,0,0,0,0,0,0,0,0,1,0,8,11,13,9,2,2,1,0,0,0,0,0,0,0,47
Araceae,Syngonium hoffmannii Schott,Syngonium,Scarabeid beetles,1,12,0,0,0,0,0,0,3,3,4,4,7,8,6,4,4,4,1,0,2,0,0,0,0,0,50
Araliaceae,Oreopanax capitatus (Jacq.) Decne. & Planch,Oreopanax,Bees,1,12,6,7,7,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,37
Asteraceae,Neomirandea araliifolia (Less.) R.M. King & H. Rob.,Neomirandea,Bees,1,12,0,0,3,5,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Asteraceae,Neomirandea eximia (B.L. Rob.) R.M. King & H. Rob.,Neomirandea,Bees,1,12,0,1,1,1,0,0,1,0,1,1,4,1,5,9,5,5,1,1,0,3,2,4,2,3,51
Asteraceae,Sinclairia polyantha (Klatt) Rydb.,Sinclairia,Bees,1,12,5,12,14,11,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46
Begoniaceae,Begonia strigillosa A. Dietr.,Begonia,Bees,1,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,16,22,28,13,112
Bromeliaceae,Aechmea mariae-reginae H. Wendl.,Aechmea,Hummingbirds,1,12,4,10,8,11,6,5,10,12,32,45,55,37,19,12,7,2,1,0,0,0,0,0,0,3,279
Bromeliaceae,Catopsis nitida (Hook.) Griseb.,Catopsis,Small insects,1,12,0,0,0,0,0,0,0,0,0,4,85,27,2,0,0,0,0,0,0,0,0,0,0,0,118
Bromeliaceae,Guzmania angustifolia (Baker) Wittm.,Guzmania,Hummingbirds,1,12,0,0,0,0,0,0,0,6,6,4,7,2,4,1,2,0,0,0,0,0,0,0,0,0,32
Bromeliaceae,Guzmania polycephala Mez & Wercklé ex Mez,Guzmania,Small insects,1,12,0,0,0,0,0,0,0,0,0,0,1,6,30,23,15,6,0,0,0,0,0,0,0,0,81
Bromeliaceae,Guzmania stenostachya L.B. Sm.,Guzmania,Hummingbirds,1,12,0,0,0,0,0,0,23,2,2,37,9,0,0,2,0,0,0,0,0,0,0,0,0,0,75
Bromeliaceae,Pitcairnia heterophylla (Lindl.) Beer,Pitcairnia,Hummingbirds,1,12,3,30,60,70,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,201
Bromeliaceae,Tillandsia excelsa Griseb.,Tillandsia,Hummingbirds,1,12,29,35,34,24,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,18,171
Bromeliaceae,Tillandsia multicaulis Steud.,Tillandsia,Hummingbirds,1,12,0,0,0,2,11,19,25,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
Bromeliaceae,Werauhia ampla (L.B. Sm.) J.R. Grant,Werauhia,Bats,1,12,18,29,37,28,32,23,19,29,22,3,1,0,0,0,0,0,0,0,0,0,0,0,3,14,258
Bromeliaceae,Werauhia nephrolepis (L.B. Sm. & Pittendr.) J.R. Grant,Werauhia,Bats,1,12,0,0,0,0,0,0,0,1,0,22,74,1,0,0,0,0,0,0,0,0,0,0,0,0,98
Bromeliaceae,Werauhia notata (L.B. Sm. & Pittendr.) J.R. Grant,Werauhia,Bats,1,12,0,0,0,0,0,0,0,0,0,0,0,9,20,35,16,7,0,0,0,0,0,0,0,0,87
Bromeliaceae,Werauhia pedicellata (Mez & Wercklé) J.R. Grant,Werauhia,Bats,1,12,2,48,244,16,14,7,5,18,85,10,2,16,1,0,0,0,0,0,0,0,0,0,0,0,468
Bromeliaceae,Werauhia subsecunda (Wittm.) J.R. Grant,Werauhia,Bats,1,12,1,4,12,2,1,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,38
Bromeliaceae,Werauhia werckleana (Mez) J. R. Grant,Werauhia,Bats,1,12,8,8,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35
Cactaceae,Epiphyllum cartagense (F.A.C. Weber) Britton & Rose,Epiphyllum,Moths,1,12,0,0,0,1,1,0,5,14,30,28,16,5,1,0,0,0,0,0,0,0,0,0,0,1,102
Campanulaceae,Burmeistera cyclostigmata Donn. Sm.,Burmeistera,Bats,1,12,6,1,1,0,1,1,2,1,1,1,2,0,0,3,0,3,3,1,3,2,3,4,3,1,43
Ericaceae,Cavendishia bracteata (Ruíz & Pav. ex J. St.-Hil.) Hoerold,Cavendishia,Hummingbirds,1,12,14,11,22,22,3,5,5,6,12,18,40,69,92,71,73,37,25,12,10,15,19,24,21,21,647
Ericaceae,Disterigma humboldtii (Klotzsch) Nied.,Disterigma,Bees,1,12,22,24,23,16,10,7,15,23,41,81,75,75,35,18,29,25,16,23,18,26,27,40,35,44,748
Ericaceae,Macleania insignis M. Martens & Galeotti,Macleania,Hummingbirds,1,12,0,1,5,6,8,6,3,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,34
Ericaceae,Sphyrospermum buxifolium Poepp. & Endl.,Sphyrospermum,Bees,1,12,38,44,25,55,19,16,77,86,56,66,76,55,35,26,20,7,6,12,14,26,40,51,32,36,918
Ericaceae,Vaccinium poasanum Donn. Sm.,Vaccinium,Bees,1,12,21,13,11,0,0,0,0,0,2,0,0,2,0,0,0,2,10,19,7,0,0,0,0,7,94
Gesneriaceae,Columnea anisophylla DC.,Columnea,Hummingbirds,1,12,3,3,5,4,2,2,2,0,0,1,1,0,0,0,1,2,0,0,2,2,0,1,5,0,36
Gesneriaceae,Columnea glabra Oerst.,Columnea,Hummingbirds,1,12,15,15,22,23,27,30,19,16,4,1,4,5,6,3,1,0,0,2,15,32,23,14,18,28,323
Gesneriaceae,Columnea querceti Oerst.,Columnea,Hummingbirds,1,12,32,42,59,72,121,116,125,114,82,59,33,19,47,100,180,245,300,247,205,153,101,87,51,45,2635
Gesneriaceae,Drymonia parviflora Hanst.,Drymonia,Bees,1,12,0,0,0,0,0,0,0,0,0,1,20,43,60,39,18,6,0,0,0,0,0,0,0,0,187
Gesneriaceae,Neomortonia nummularia (Hanst.) Wiehler,Neomortonia,Hummingbirds,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,3,2,2,0,0,0,0,20
Hydrangeaceae,Hydrangea asterolasia Diels,Hydrangea,Bees,1,12,2,1,0,0,3,8,7,8,2,0,0,0,0,0,5,4,5,4,2,2,2,2,0,1,58
Hydrangeaceae,Hydrangea peruviana Moric. ex Ser.,Hydrangea,Bees,1,12,6,5,4,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,7,8,7,45
Lentibulariaceae,Utricularia praetermissa P. Taylor,Utricularia,Bees,1,12,0,0,0,0,0,0,0,0,0,0,0,0,3,10,7,1,2,1,0,0,0,0,0,0,24
Marcgraviaceae,Marcgravia brownei (Triana & Planch.) Krug. & Urg.,Marcgravia,Bats,1,12,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,3,6,8,8,10,10,7,1,0,64
Melastomataceae,Blakea gracilis Hemsl.,Blakea,Bees,1,12,3,3,1,5,8,8,9,6,2,0,1,0,0,1,6,7,19,24,32,38,33,20,16,9,251
Orchidaceae,Barbosella prorepens (Rchb. f.) Schltr.,Barbosella,Flies,1,12,0,0,0,0,0,10,67,114,161,113,32,0,0,0,0,0,0,0,0,1,0,0,0,0,498
Orchidaceae,Campylocentrum brenesii Schltr.,Campylocentrum,Bees,1,12,0,0,0,0,0,0,0,1,2,11,18,3,0,0,0,0,0,0,0,0,0,0,0,0,35
Orchidaceae,Comparettia falcata Poepp. & Endl.,Comparettia,Hummingbirds,1,12,0,0,0,0,0,0,0,2,11,16,30,24,14,11,2,1,0,0,0,0,0,0,0,0,111
Orchidaceae,Dracula erythrochaete (Rchb.f.) Luer,Dracula,Flies,1,12,0,0,1,0,2,8,27,46,49,45,35,25,17,8,4,1,1,2,0,0,0,0,0,0,271
Orchidaceae,Dracula pusilla (Rolfe) Luer,Dracula,Flies,1,12,0,0,0,0,0,0,0,0,0,0,0,1,18,39,60,39,42,25,17,3,2,0,0,1,247
Orchidaceae,Elleanthus glaucophyllus Schltr.,Elleanthus,Hummingbirds,1,12,0,0,0,0,0,0,0,12,50,61,6,0,0,0,0,0,1,0,0,0,0,0,0,0,130
Orchidaceae,Elleanthus tricallosus Ames & C. Schweinf.,Elleanthus,Hummingbirds,1,12,24,23,9,6,0,1,2,0,30,56,19,3,0,0,0,0,0,0,0,0,0,16,4,2,195
Orchidaceae,Epidendrum lacustre Lindl.,Epidendrum,Moths,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,13,1,0,0,5,1,0,0,0,38
Orchidaceae,Epidendrum lagenocolumna Hágsater & L. Sánchez,Epidendrum,Moths,1,12,0,0,0,3,2,2,2,12,26,23,35,9,2,1,0,0,0,0,0,1,0,0,0,0,118
Orchidaceae,Epidendrum laucheanum Rolfe,Epidendrum,Butterflies,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,193,863,674,236,9,0,0,0,0,1992
Orchidaceae,Epidendrum pachyceras Hágsater & L. Sánchez S.,Epidendrum,Moths,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,117,128,139,54,20,7,3,1,500
Orchidaceae,Epidendrum palmense Ames,Epidendrum,Moths,1,12,1,3,2,9,7,9,3,5,7,14,39,32,17,6,0,0,0,0,0,0,0,0,0,0,154
Orchidaceae,Epidendrum piliferum Rchb. f.,Epidendrum,Butterflies,1,12,0,0,0,0,1,0,0,4,1,2,9,10,3,2,0,0,0,0,0,0,0,0,0,0,32
Orchidaceae,Epidendrum pseudoramosum Schltr.,Epidendrum,Butterflies,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,138,298,348,172,70,5,0,0,1043
Orchidaceae,Epidendrum ramosum Jacq.,Epidendrum,Butterflies,1,12,2,5,3,2,2,0,1,1,1,0,0,0,0,2,1,1,4,3,3,5,3,3,6,7,55
Orchidaceae,Leochilus tricuspidatus (Rchb. f.) Kraenzl.,Leochilus,Bees,1,12,0,0,0,0,0,0,0,1,2,11,8,2,0,3,0,0,0,0,0,0,0,0,0,0,27
Orchidaceae,Macroclinium ramonense (Schltr.) Dodson,Macroclinium,Bees,1,12,0,0,0,0,0,2,6,6,9,13,32,15,17,0,1,0,0,0,0,0,0,0,1,0,102
Orchidaceae,Masdevallia chontalensis Rchb. f.,Masdevallia,Flies,1,12,0,0,0,0,0,0,0,165,33,27,180,4,4,0,0,0,0,1,0,1,2,51,41,16,525
Orchidaceae,Masdevallia nidifica Rchb. f.,Masdevallia,Flies,1,12,1,0,1,1,0,2,5,7,6,16,10,4,11,5,5,6,17,6,5,13,5,5,2,8,141
Orchidaceae,Masdevallia picturata Rchb. f.,Masdevallia,Flies,1,12,2,2,0,1,2,2,29,61,42,19,13,1,3,4,0,0,1,0,0,4,7,2,5,8,208
Orchidaceae,Masdevallia striatella Rchb. f.,Masdevallia,Flies,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58,79,526,607,203,3,0,1477
Orchidaceae,Maxillaria acervata Rchb. f.,Maxillaria,Bees,1,12,0,0,0,2,0,0,0,3,1,4,11,3,2,15,6,3,4,3,1,1,0,0,0,0,59
Orchidaceae,Maxillaria biolleyi (Schltr.) L.O. Williams,Maxillaria,Bees,1,12,38,1,0,0,0,3,213,171,8,2,0,0,0,0,0,1,0,0,0,0,0,1,26,125,589
Orchidaceae,Maxillaria bracteata (Schltr.) Ames & Correll,Maxillaria,Bees,1,12,0,0,0,0,0,8,1,7,15,11,4,3,1,0,0,0,0,0,0,0,0,0,0,0,50
Orchidaceae,Maxillaria linearifolia Ames & C. Schweinf.,Maxillaria,Bees,1,12,0,1,8,4,2,1,0,0,0,0,0,0,0,0,0,1,0,33,36,7,1,1,0,0,95
Orchidaceae,Oerstedella aberrans (Schltr.) Hamer,Oerstedella,Butterflies,1,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,7,12,9,10,49
Orchidaceae,Oerstedella exasperata (Rchb. f.) Hágsater,Oerstedella,Butterflies,1,12,0,3,12,146,352,398,204,83,26,15,7,11,9,7,4,1,0,1,1,5,10,11,5,5,1316
Orchidaceae,Oerstedella pumila (Rolfe) Hágsater,Oerstedella,Butterflies,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,18,15,5,0,0,47
Orchidaceae,Oncidium luteum Rolfe,Oncidium,Bees,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,28,8,0,0,0,56
Orchidaceae,Oncidium obryzatoides Kraenzl.,Oncidium,Bees,1,12,47,27,14,10,6,2,1,1,0,0,1,1,0,1,0,0,3,3,19,29,40,55,67,117,444
Orchidaceae,Oncidium stenoglossum (Schltr.) Dressler & N.H. Williams,Oncidium,Bees,1,12,0,0,0,0,0,0,0,0,2,4,15,34,39,46,29,26,6,3,0,0,0,0,0,0,204
Orchidaceae,Platystele compacta (Ames) Ames,Platystele,Flies,1,12,25,30,27,35,31,39,51,56,49,46,62,75,76,64,93,92,87,70,104,91,89,91,61,61,1505
Orchidaceae,Platystele oxyglossa (Schltr.) Garay,Platystele,Flies,1,12,9,5,5,8,7,2,10,7,6,15,14,4,15,6,22,37,14,23,19,26,37,18,22,15,346
Orchidaceae,Pleurothallis amparoana Schltr.,Pleurothallis,Flies,1,12,0,0,0,0,0,1,14,42,51,37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,150
Orchidaceae,Pleurothallis homalantha Schltr.,Pleurothallis,Flies,1,12,2,0,0,1,0,1,0,0,0,7,25,2,57,12,77,46,1,34,26,69,122,53,54,45,634
Orchidaceae,Pleurothallis rowleei Ames,Pleurothallis,Flies,1,12,0,0,0,0,0,0,0,1,4,0,40,75,37,2,0,0,0,0,0,0,1,6,13,25,204
Orchidaceae,Pleurothallis ruscifolia (Jacq.) R. Br.,Pleurothallis,Flies,1,12,1,0,0,0,0,0,0,0,0,0,1,0,10,6,0,2,0,10,1,0,79,83,4,10,207
Orchidaceae,Pleurothallis strumosa Ames,Pleurothallis,Flies,1,12,13,9,5,6,2,10,27,21,28,19,27,18,32,27,36,41,46,32,33,31,32,24,20,20,559
Orchidaceae,Prosthechea ionocentra (Rchb. f.) W.E. Higgins,Prosthechea,Bees,1,12,0,0,0,0,0,0,0,0,1,1,2,3,8,4,1,2,1,0,0,0,0,0,0,0,23
Orchidaceae,Scaphosepalum anchoriferum (Rchb. f.) Rolfe,Scaphosepalum,Flies,1,12,0,0,0,0,0,0,0,0,4,3,6,14,11,11,13,8,7,6,8,15,11,10,7,7,141
Orchidaceae,Scaphyglottis densa (Schltr.) B. R. Adams,Scaphyglottis,Bees,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,21,7,1,0,0,43
Orchidaceae,Scaphyglottis sessiliflora B.R. Adams,Scaphyglottis,Bees,1,12,5,17,15,4,0,0,0,0,1,0,0,0,2,2,2,3,1,2,2,1,3,1,2,4,67
